# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 21 12311.999999999998
  18 18.0689 604.82 441.049
  19 20.4781 626.5 435.562
  20 22.8873 640 429.981
  21 25.2965 0 0
30000 21 12312.000000000002
  1 -22.8873 597.77 418.277
  2 -20.4781 628.76 422.788
  3 -18.0689 619.16 442.843
  4 -15.6597 590.95 447.581
  5 -13.2505 609.78 453.764
  6 -10.8414 640.82 454.123
  7 -8.43217 615.22 451.042
  8 -6.02298 591.47 447.494
  9 -3.61379 627.25 469.157
  10 -1.2046 602.06 474.822
  11 1.2046 621.5 485.65
  12 3.61379 600.93 479.18
  13 6.02298 603.71 469.667
  14 8.43217 607.57 452.154
  15 10.8414 609.2 447.751
  16 13.2505 649.14 448.147
  17 15.6597 623.37 445.341
  18 18.0689 602.2 434.391
  19 20.4781 648.23 433.593
  20 22.8873 622.91 426.37
  21 25.2965 0 0
31000 21 12311.999999999998
  1 -22.8873 605.32 416.47
  2 -20.4781 635.55 421.899
  3 -18.0689 637.05 436.238
  4 -15.6597 595.58 455.063
  5 -13.2505 586.42 451.916
  6 -10.8414 643.21 450.109
  7 -8.43217 636.48 453.616
  8 -6.02298 585.56 456.241
  9 -3.61379 626.13 472.438
  10 -1.2046 599.19 477.188
  11 1.2046 629.87 476.531
  12 3.61379 582.67 475.659
  13 6.02298 614.17 478.132
  14 8.43217 611.84 451.617
  15 10.8414 586.03 447.689
  16 13.2505 658.98 452.47
  17 15.6597 600.25 444.672
  18 18.0689 606.48 439.077
  19 20.4781 623.08 441.178
  20 22.8873 648.14 429.517
  21 25.2965 0 0
32000 21 12311.999999999998
  1 -22.8873 610.21 410.659
  2 -20.4781 626.81 424.822
  3 -18.0689 649.47 432.69
  4 -15.6597 600.22 439.768
  5 -13.2505 611.41 444.017
  6 -10.8414 653.16 445.474
  7 -8.43217 632.51 454.592
  8 -6.02298 577.82 463.613
  9 -3.61379 631.21 475.818
  10 -1.2046 587.53 483.604
  11 1.2046 615.93 480.48
  12 3.61379 571.22 465.228
  13 6.02298 628.91 471.524
  14 8.43217 594.15 452.694
  15 10.8414 598.59 452.475
  16 13.2505 630.21 461.706
  17 15.6597 617.13 445.865
  18 18.0689 599.04 444.145
  19 20.4781 626.89 439.927
  20 22.8873 649.58 426.549
  21 25.2965 0 0
33000 21 12312
  1 -22.8873 608.74 410.951
  2 -20.4781 638.81 426.767
